filename,prompt
9.jpeg,"arafed man running down the road in a green shirt, a photorealistic painting inspired by Jeff A. Menges, dribble, superflat, dynamic active running pose, athletic man in his 30s, running"
8.jpeg,"a close up of a woman in a black sweater and panties, a polaroid photo inspired by Olivia de Berardinis, instagram, private press, black sweater, wearing a black sweater, black wool sweater"
7.jpeg,"a woman with purple hair and a white top on a magazine cover, a poster by Lü Ji, trending on cg society, private press, cover magazine, korean idol, fashion magazine cover"
6.jpeg,"arafed man in a tuxedo and bow tie standing in a hall, a marble sculpture inspired by Alexander Kucharsky, instagram contest winner, rococo, peter tarka, f 1 driver charles leclerc, formal black suit. detailed"
5.jpeg,"arafed man in a red coat and black shirt standing on a sidewalk, a character portrait by Wolfgang Zelmer, instagram contest winner, neoism, full body black and red longcoat, red leather short coat, wearing black overcoat"
4.jpeg,"a woman in a skirt and jacket posing in an office, computer graphics by Alexander Kucharsky, trending on cg society, superflat, female in office dress, office clothes, young business woman"
38.jpg,"arafian male soccer player in a stadium with a ball, a photocopy inspired by Zhang Han, dribble, aestheticism, shin jeongho, hyung - tae kim, hyung-tae kim"
37.jpg,"a close up of a woman wearing a black dress and a necklace, a photorealistic painting by Lü Ji, trending on cg society, rococo, popular korean makeup, popular south korean makeup, dilraba dilmurat"
36.jpg,"arafed man with a black jacket and white shirt standing outside, a photocopy by Li Shan, trending on cg society, mannerism, yanjun chengt, male ulzzang, duy beni serial"
35.jpg,"a close up of a person wearing a jacket and a hoodie, a photocopy inspired by Wang Yuan, trending on cg society, aestheticism, yanjun chengt, yihao ren, male ulzzang"
34.jpg,"woman standing next to a large teddy bear on a balcony, a stock photo inspired by Wang Yuanqi, trending on cg society, aestheticism, beautiful south korean woman, gorgeous young korean woman, ulzzang"
33.jpg,"a close up of a woman wearing a blue jacket and jeans, a picture by Lü Ji, trending on cg society, de stijl, beautiful south korean woman, ulzzang, beautiful young korean woman"
32.jpg,"a close up of a person sitting at a table with a drink, a photocopy inspired by Wang Yuan, trending on cg society, aestheticism, cai xukun, yanjun chengt, male ulzzang"
31.jpg,"a close up of a woman in shorts and a crop top, a picture by Lü Ji, trending on cg society, superflat, ulzzang, korean girl, korean idol"
30.jpg,"there is a man holding a bunch of flowers in his hands, a photocopy inspired by Wang Yuan, tumblr contest winner, aestheticism, cai xukun, male ulzzang, yanjun chengt"
3.jpeg,"arafed man in a black jacket standing in front of a city at night, a character portrait by Ejler Bille, featured on unsplash, arbeitsrat für kunst, portrait featured on unsplash, peter tarka, a man wearing a black jacket"
29.jpg,"a woman with long hair wearing a floral dress and earrings, a stock photo by Lü Ji, trending on cg society, rococo, beautiful young korean woman, ulzzang, popular korean makeup"
28.jpg,"smiling man sitting on a chair in front of a bookcase, a character portrait inspired by Jeff A. Menges, pexels, private press, scott robertson, andrew dickson, greg rutkowsi"
27.jpg,"smiling man in a suit and white shirt posing for a picture, a stock photo inspired by Eric Dinyer, pexels contest winner, academic art, corporate photo, professional corporate portrait, professional headshot"
26.jpg,"arafed man in a suit and pink shirt smiling at the camera, a stock photo inspired by Eric Dinyer, featured on cg society, arbeitsrat für kunst, corporate portrait, professional corporate portrait, peter tarka"
25.jpg,"smiling woman sitting on a bench in front of a tree, a character portrait inspired by Kathleen Allen, featured on cg society, mingei, nicole de boer, promotional portrait, portrait of rugged adult female"
24.jpg,"arafed woman in a black dress sitting on a brown chair, a stock photo inspired by Olivia Peguero, featured on cg society, american barbizon school, professional headshot, acting headshot, headshot photography"
23.jpg,"smiling man in a suit and tie with a beard, a character portrait inspired by Arturo Rivera, instagram contest winner, academic art, official government photo, official photo portrait, carmelo blandino"
22.jpeg,"arafed woman in a black suit standing on a sidewalk, a stock photo inspired by helen huang, pexels contest winner, cloisonnism, young business woman, professional headshot, professional corporate portrait"
21.jpg,"araffe woman in blue dress holding yellow purse over shoulder, a stock photo inspired by Joyce Ballantyne Brand, behance, american barbizon school, yellow and charcoal leather, bright vivid color hues:1, bold bright colors"
20.jpeg,"a close up of a man with a shirt on posing for a picture, a character portrait by Tadashi Nakayama, featured on cg society, mannerism, nico delort, rhys lee, david villegas"
2.jpeg,"a close up of a woman with red hair and a white shirt, a character portrait by Nagasawa Rosetsu, trending on cg society, rayonism, short red hair, red short hair, light red hair"
19.jpeg,"araffe woman in a gold dress sitting on a red couch, a marble sculpture inspired by Zhang Shuqi, trending on cg society, private press, elegant yellow skin, elegant gold body, elegant gold skin"
18.jpeg,"arafed man with no shirt on standing in front of a soccer goal, a marble sculpture inspired by Kees Maks, dribble, superflat, soccer player, football player, masculine muscular figure"
17.jpeg,"arafed man in a yellow shirt standing in front of a bar, a character portrait inspired by Tony Tuckson, instagram contest winner, de stijl, ted danson, homer simpson as a real person, real-life homer simpson"
16.jpeg,"arafed man with a shirt on walking on a soccer field, a bronze sculpture inspired by Kees Maks, dribble, superflat, masculine muscular figure, muscular masculine figure, sexy masculine"
15.jpeg,"a man in a leather jacket standing in a dark room, a character portrait by Pál Balkay, trending on cg society, retrofuturism, wearing cyberpunk leather jacket, wearing a leather trench coat, leather trench coat"
14.jpeg,"a close up of a man in a suit posing for a picture, a digital rendering by Sargent Johnson, cgsociety contest winner, photorealism, arnold render, realistic face and body hybrid, arnold rendering"
13.jpeg,"arafed man in white tank top leaning against a wall, a character portrait by Warren Mahy, featured on cg society, neoclassicism, ian david soar, brock hofer, rhys lee"
12.jpeg,"smiling man in suit and tie holding a cup of coffee, a character portrait inspired by John Wilson, featured on cg society, academic art, robert galbraith, cranbow jenkins, photo of a 50-year-old white man"
11.jpeg,"a man in a red jacket and jeans poses for a picture, a digital rendering inspired by Kees Maks, featured on dribble, private press, bomber jacket, orange jacket, sports jacket"
10.jpeg,"arafed woman in a tan top and jeans posing for a picture, a picture inspired by Mandy Jurgens, trending on cg society, superflat, mandy jurgens golden ratio, gray shirt, perfect smile"
1.jpeg,"arafed man in a leather jacket standing in front of a tree with peaches, a character portrait by Tadashi Nakayama, instagram contest winner, aestheticism, ikuto yamashita, kousuke oono, rei hiroe"
